urun,kategori,uygunluk_pct,sulama_ihtiyac_mm,sulama_yontem,ekim_aylari,hasat_aylari,bakim,kar_potansiyel,emoji,il,ilce
Arpa,Tahıl,87.1,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,Başmakçı
Buğday,Tahıl,83.0,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,Başmakçı
Soğan,Sebze,80.8,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,Başmakçı
Üzüm (Bağ),Meyve,55.6,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,Başmakçı
Zeytin,Meyve,52.0,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,Başmakçı
Arpa,Tahıl,87.7,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,Bolvadin
Buğday,Tahıl,83.5,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,Bolvadin
Üzüm (Bağ),Meyve,81.4,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,Bolvadin
Soğan,Sebze,81.4,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,Bolvadin
Zeytin,Meyve,78.0,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,Bolvadin
Arpa,Tahıl,89.0,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,Dazkırı
Buğday,Tahıl,84.8,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,Dazkırı
Soğan,Sebze,83.1,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,Dazkırı
Üzüm (Bağ),Meyve,54.8,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,Dazkırı
Zeytin,Meyve,51.9,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,Dazkırı
Arpa,Tahıl,95.9,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,Dinar
Buğday,Tahıl,91.2,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,Dinar
Üzüm (Bağ),Meyve,91.0,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,Dinar
Soğan,Sebze,91.0,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,Dinar
Zeytin,Meyve,90.8,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,Dinar
Arpa,Tahıl,89.3,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,Emirdağ
Buğday,Tahıl,85.0,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,Emirdağ
Soğan,Sebze,60.8,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,Emirdağ
Üzüm (Bağ),Meyve,51.3,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,Emirdağ
Zeytin,Meyve,48.5,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,Emirdağ
Arpa,Tahıl,88.4,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,Evciler
Buğday,Tahıl,84.2,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,Evciler
Soğan,Sebze,61.9,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,Evciler
Üzüm (Bağ),Meyve,52.0,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,Evciler
Zeytin,Meyve,48.8,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,Evciler
Arpa,Tahıl,99.0,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,Hocalar
Zeytin,Meyve,95.6,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,Hocalar
Üzüm (Bağ),Meyve,94.6,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,Hocalar
Soğan,Sebze,94.6,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,Hocalar
Buğday,Tahıl,94.0,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,Hocalar
Arpa,Tahıl,99.8,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,Kızılören
Soğan,Sebze,95.6,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,Kızılören
Buğday,Tahıl,94.8,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,Kızılören
Zeytin,Meyve,72.9,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,Kızılören
Üzüm (Bağ),Meyve,71.6,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,Kızılören
Arpa,Tahıl,91.9,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,Merkez
Buğday,Tahıl,87.5,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,Merkez
Soğan,Sebze,65.5,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,Merkez
Üzüm (Bağ),Meyve,55.6,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,Merkez
Zeytin,Meyve,53.9,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,Merkez
Arpa,Tahıl,95.4,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,Sandıklı
Buğday,Tahıl,90.7,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,Sandıklı
Soğan,Sebze,90.4,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,Sandıklı
Üzüm (Bağ),Meyve,68.7,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,Sandıklı
Zeytin,Meyve,68.3,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,Sandıklı
Arpa,Tahıl,98.7,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,Sinanpaşa
Zeytin,Meyve,95.3,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,Sinanpaşa
Üzüm (Bağ),Meyve,94.4,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,Sinanpaşa
Soğan,Sebze,94.4,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,Sinanpaşa
Buğday,Tahıl,93.8,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,Sinanpaşa
Arpa,Tahıl,92.0,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,Sultandağı
Buğday,Tahıl,87.6,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,Sultandağı
Üzüm (Bağ),Meyve,86.5,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,Sultandağı
Soğan,Sebze,86.5,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,Sultandağı
Zeytin,Meyve,84.8,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,Sultandağı
Arpa,Tahıl,91.2,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,Çay
Buğday,Tahıl,86.8,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,Çay
Üzüm (Bağ),Meyve,85.6,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,Çay
Soğan,Sebze,85.6,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,Çay
Zeytin,Meyve,83.5,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,Çay
Arpa,Tahıl,90.5,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,Çobanlar
Buğday,Tahıl,86.2,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,Çobanlar
Soğan,Sebze,84.8,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,Çobanlar
Üzüm (Bağ),Meyve,63.6,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,Çobanlar
Zeytin,Meyve,61.3,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,Çobanlar
Arpa,Tahıl,95.1,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,İhasaniye
Buğday,Tahıl,90.4,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,İhasaniye
Soğan,Sebze,90.1,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,İhasaniye
Üzüm (Bağ),Meyve,66.3,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,İhasaniye
Zeytin,Meyve,65.8,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,İhasaniye
Arpa,Tahıl,89.3,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,İscehisar
Buğday,Tahıl,85.0,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,İscehisar
Soğan,Sebze,55.9,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,İscehisar
Üzüm (Bağ),Meyve,47.2,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,İscehisar
Zeytin,Meyve,44.4,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,İscehisar
Arpa,Tahıl,93.4,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,Şuhut
Buğday,Tahıl,88.8,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,Şuhut
Üzüm (Bağ),Meyve,88.1,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,Şuhut
Soğan,Sebze,88.1,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,Şuhut
Zeytin,Meyve,86.9,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,Şuhut
Arpa,Tahıl,91.8,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Aksaray,Ağaçören
Buğday,Tahıl,87.3,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Aksaray,Ağaçören
Soğan,Sebze,60.1,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Aksaray,Ağaçören
Üzüm (Bağ),Meyve,51.1,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Aksaray,Ağaçören
Zeytin,Meyve,49.3,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Aksaray,Ağaçören
Arpa,Tahıl,50.9,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Aksaray,Eskil
Buğday,Tahıl,46.8,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Aksaray,Eskil
Soğan,Sebze,35.9,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Aksaray,Eskil
Üzüm (Bağ),Meyve,31.1,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Aksaray,Eskil
Zeytin,Meyve,27.6,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Aksaray,Eskil
Arpa,Tahıl,87.9,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Aksaray,Gülağaç
Buğday,Tahıl,83.7,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Aksaray,Gülağaç
Soğan,Sebze,55.1,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Aksaray,Gülağaç
Üzüm (Bağ),Meyve,46.2,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Aksaray,Gülağaç
Zeytin,Meyve,42.9,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Aksaray,Gülağaç
Arpa,Tahıl,93.8,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Aksaray,Güzelyurt
Buğday,Tahıl,89.2,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Aksaray,Güzelyurt
Soğan,Sebze,63.7,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Aksaray,Güzelyurt
Üzüm (Bağ),Meyve,54.6,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Aksaray,Güzelyurt
Zeytin,Meyve,53.5,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Aksaray,Güzelyurt
Arpa,Tahıl,87.4,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Aksaray,Merkez
Buğday,Tahıl,83.2,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Aksaray,Merkez
Soğan,Sebze,50.0,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Aksaray,Merkez
Üzüm (Bağ),Meyve,41.8,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Aksaray,Merkez
Zeytin,Meyve,38.3,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Aksaray,Merkez
Arpa,Tahıl,91.5,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Aksaray,Ortaköy
Buğday,Tahıl,87.1,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Aksaray,Ortaköy
Soğan,Sebze,58.9,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Aksaray,Ortaköy
Üzüm (Bağ),Meyve,50.1,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Aksaray,Ortaköy
Zeytin,Meyve,48.2,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Aksaray,Ortaköy
Arpa,Tahıl,86.4,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Aksaray,Sarıyahşi
Buğday,Tahıl,82.3,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Aksaray,Sarıyahşi
Soğan,Sebze,53.9,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Aksaray,Sarıyahşi
Üzüm (Bağ),Meyve,44.9,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Aksaray,Sarıyahşi
Zeytin,Meyve,41.0,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Aksaray,Sarıyahşi
Arpa,Tahıl,83.7,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Aksaray,Sultanhanı
Buğday,Tahıl,79.8,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Aksaray,Sultanhanı
Soğan,Sebze,54.5,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Aksaray,Sultanhanı
Üzüm (Bağ),Meyve,44.9,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Aksaray,Sultanhanı
